# Âm tiết tiếng Việt hợp lệ ĐÃ CHỨNG THỰC trong corpus, kèm tần suất.
# Nguồn cột 2: syllable-freq.tsv
# 9352 / 18261 âm tiết sinh ra có xuất hiện thật.
# Âm tiết hợp lệ nhưng KHÔNG có ở đây là tín hiệu 'nghi vấn' cho L3/L4:
# đúng ngữ âm nhưng không ai dùng, nên rất có thể là lỗi gõ.
# 
# Cột 3 = tần suất đếm trên CHÍNH tập câu đã dựng compounds.tsv. Cần cột
# riêng này để tính được xác suất có điều kiện P(b|a) = freq(a b)/freq(a):
# hai con số phải cùng một mẫu, không thì tỉ số vô nghĩa. Đó là thứ phân
# biệt từ ghép CỐ ĐỊNH (`chia sẻ`) với kết hợp TỰ DO (`cát trắng`) — và
# chính là chỗ mà tần suất bigram thô không đủ.
# 
# tổng token trên tập câu: 13338970
# 
# âm_tiết	tần_suất_dump	tần_suất_tập_câu
là	3647639	185733
và	3515850	237781
của	3314562	218797
một	3090698	149311
được	2730645	144524
trong	2668544	137748
năm	2665542	89539
các	2075693	181309
có	2050140	139066
loài	1452572	7346
người	1345687	84542
này	1326158	59194
với	1294175	88208
đã	1260125	78979
ở	1183870	65755
vào	1174057	61462
tháng	1164110	30296
cho	1135939	76161
họ	1121631	21936
đầu	1054892	44564
thành	1048989	72752
tham	997882	13422
học	994516	43041
kết	958067	22586
liên	950477	29805
thích	925378	8223
chú	912417	5286
từ	907061	65602
ngày	853346	31034
số	849023	46472
tại	847919	49001
không	827358	68333
khảo	823816	5755
khi	800000	52116
công	794753	51415
đến	787730	47729
ngoài	785219	15802
quốc	781366	57601
những	770411	69366
sau	717719	42696
chính	689018	50347
sự	668226	53206
tiên	653446	20028
thể	653332	54569
ông	638473	40645
về	629209	47842
đó	621072	43943
ra	620997	47201
trên	618108	40346
nhà	610396	41511
bộ	608891	31695
để	603439	46396
nam	598782	47001
dân	589867	31571
gia	589391	35384
bị	579652	36118
tả	579414	5499
hoa	571682	17391
khoa	565735	7830
thực	553739	22512
trung	553000	38303
vật	551771	21577
quân	547919	35990
như	545443	50334
thuộc	537890	18703
anh	510859	20172
đại	507445	38047
động	501094	33210
nhất	486064	36938
