# Token KHÔNG phải âm tiết tiếng Việt nhưng được chấp nhận trong văn bản Việt.
# Gồm ba nhóm: từ vay mượn khoa học (vectơ, nitơ, electron, protein),
# tên riêng ngoại (méxico, napoléon), và viết tắt thường (sđd, đ).
# 
# Tiêu chí: xuất hiện trong >= 20 câu khác nhau.
# Dùng SỐ CÂU CHỨA chứ không phải tần suất thô: tần suất thô bị một bài
# dài lặp lại một từ làm lệch, còn độ lan toả thì không.
# 
# Nguồn: sentences-train.txt (449911 câu)
# 
# token	tần_suất	số_câu_chứa
of	6365	4784
m	4484	3708
c	3974	3181
s	3519	3063
px	3200	3057
and	3592	3004
new	2923	2619
ii	2493	2363
km	2908	2325
thumb	2337	2274
x	2961	2274
v	3438	2272
b	2498	2001
tcn	2265	1974
paris	2181	1958
t	2486	1921
d	2073	1836
k	1860	1579
n	2068	1545
john	1580	1491
h	1808	1477
canada	1662	1447
web	1845	1422
album	1700	1396
dna	1855	1390
york	1483	1356
world	1460	1303
g	1629	1292
israel	1496	1225
r	1526	1190
f	1537	1184
al	1440	1177
protein	1413	1151
acid	1469	1125
oxy	1386	1123
l	1306	1119
campuchia	1283	1115
gen	1409	1088
league	1283	1068
internet	1204	1059
iraq	1239	1015
ireland	1262	995
kông	1130	991
iii	1037	990
cup	1238	988
p	1228	988
latinh	1094	984
kitô	1094	945
virus	1264	938
hitler	963	903
khmer	1068	897
jpg	1463	864
stalin	957	853
william	899	853
electron	1044	837
j	967	828
iran	949	816
george	841	812
for	866	804
video	894	789
washington	820	759
windows	1079	758
nobel	913	752
james	790	749
california	837	736
carbon	892	733
cuba	861	717
lenin	806	716
singapore	840	716
brasil	785	707
indonesia	792	706
hydro	803	705
w	775	695
philippines	791	690
zh	694	688
usd	812	684
charles	700	675
ion	795	658
microsoft	750	646
malaysia	709	644
david	647	626
robert	635	623
roma	705	622
pyotr	681	618
iv	625	604
paul	624	602
mexico	677	599
ukraina	683	594
linux	769	592
einstein	648	581
hungary	671	581
louis	604	581
afghanistan	661	574
berlin	680	573
marx	652	573
java	729	572
harry	676	569
moskva	601	565
rock	704	558
madrid	622	551
ottoman	619	541
real	620	541
bbc	709	534
thomas	549	529
xx	529	521
from	580	520
united	557	518
at	594	513
uefa	656	513
xix	513	510
tp	549	508
london	526	505
nato	571	502
left	508	497
francisco	543	496
upright	500	495
des	557	492
syria	552	492
rna	683	491
euro	564	486
apple	579	483
champions	529	483
richard	495	482
pakistan	538	481
mm	643	480
with	516	477
newton	529	476
st	490	470
gdp	516	462
oxide	606	462
henry	473	459
scotland	506	452
zealand	504	452
right	466	449
jean	470	447
joseph	456	446
history	480	444
sri	486	444
palestine	519	438
argentina	466	433
saint	479	433
karl	459	432
website	511	423
park	455	422
lanka	458	418
z	519	411
napoléon	448	410
bush	477	409
tokyo	464	408
top	486	405
unesco	438	405
chelsea	457	404
michael	409	402
natri	518	396
photon	468	391
university	427	390
cm	470	388
base	459	385
clinton	442	385
barcelona	413	380
bayern	429	378
international	404	378
kuwait	427	373
martin	382	370
anime	455	368
los	397	368
olympic	429	366
fifa	418	365
kennedy	432	365
vectơ	495	364
giêsu	419	363
der	420	361
bit	521	354
wikipedia	439	354
myanmar	396	353
xvi	354	347
life	361	346
peter	359	345
city	377	344
pop	381	342
armenia	435	341
national	373	339
bulgaria	386	338
google	419	338
opera	404	338
lincoln	379	337
kali	411	335
gene	459	331
is	362	330
brazil	349	328
kg	379	327
maria	344	327
neutron	382	327
enzyme	383	326
reagan	368	326
lee	342	325
friedrich	345	323
milan	387	323
el	343	319
king	365	319
albert	332	317
time	343	317
calci	404	316
macedonia	393	316
proton	359	316
press	336	315
dioxide	341	314
laser	397	314
latin	335	314
radio	365	314
vii	328	314
planck	419	310
seoul	361	310
american	329	308
saddam	339	307
genève	348	306
vatican	345	305
times	332	303
edward	315	302
logic	361	300
manchester	335	300
file	424	299
tour	339	299
you	345	299
chile	338	298
gruzia	367	298
fa	317	297
texas	326	296
et	313	295
johnson	313	292
nepal	339	292
venezuela	317	291
iceland	330	290
lennon	333	290
florida	319	289
elizabeth	301	287
litva	339	286
maxwell	321	286
clb	339	285
méxico	318	285
wales	306	285
xii	299	284
angeles	303	282
liban	337	280
liverpool	304	280
cia	316	279
guinea	317	279
axit	345	277
rôma	294	277
system	297	277
frank	299	276
luther	301	276
qatar	319	276
vietnam	304	276
bolshevik	292	274
del	298	274
hollywood	287	274
congo	324	273
grand	295	273
hcm	304	273
nasa	296	273
spears	311	272
trotsky	305	272
as	296	270
calvin	297	270
jordan	309	269
alexander	271	267
amino	305	267
group	282	267
jerusalem	298	267
cleopatra	315	266
eu	297	266
nitơ	311	266
quark	456	266
queen	288	266
ethiopia	306	265
belarus	308	264
xiv	267	264
premier	288	263
ronaldo	300	262
nchen	299	261
virginia	293	261
columbia	285	260
mark	272	259
unix	327	259
game	300	258
maroc	277	258
mig	350	256
muhammad	282	256
croatia	303	254
inter	289	254
sailor	322	254
somalia	302	254
chicago	278	253
pascal	359	253
taylor	285	253
